price,quantity,type,timestamp
38958000,0.0002,0,04/28 17:52:38
38955000,0.1142,0,04/28 17:52:38
38972000,0.291,1,04/28 17:52:38
38974000,0.174,1,04/28 17:52:38
38975000,0.0123,1,04/28 17:52:38
38976000,0.1322,1,04/28 17:52:38
38980000,0.0558,1,04/28 17:52:38
38971000,0.0064,0,04/28 17:52:39
38967000,0.0002,0,04/28 17:52:39
38965000,0.0323,0,04/28 17:52:39
38958000,0.0002,0,04/28 17:52:39
38957000,0.0832,0,04/28 17:52:39
38972000,0.2523,1,04/28 17:52:39
38974000,0.174,1,04/28 17:52:39
38976000,0.1322,1,04/28 17:52:39
38978000,0.0385,1,04/28 17:52:39
38980000,0.0558,1,04/28 17:52:39
38971000,0.0064,0,04/28 17:52:40
38967000,0.0002,0,04/28 17:52:40
38965000,0.0323,0,04/28 17:52:40
38960000,0.0866,0,04/28 17:52:40
38958000,0.0002,0,04/28 17:52:40
38972000,0.1684,1,04/28 17:52:40
38974000,0.0418,1,04/28 17:52:40
38976000,0.1322,1,04/28 17:52:40
38978000,0.0385,1,04/28 17:52:40
38979000,1.261,1,04/28 17:52:40
38971000,0.0045,0,04/28 17:52:41
38967000,0.0002,0,04/28 17:52:41
38965000,0.0323,0,04/28 17:52:41
38960000,0.0866,0,04/28 17:52:41
38958000,0.0002,0,04/28 17:52:41
38974000,0.0325,1,04/28 17:52:41
38979000,1.261,1,04/28 17:52:41
38980000,0.1392,1,04/28 17:52:41
38982000,0.0401,1,04/28 17:52:41
38985000,0.1034,1,04/28 17:52:41
38971000,0.0045,0,04/28 17:52:42
38967000,0.0002,0,04/28 17:52:42
38965000,0.0323,0,04/28 17:52:42
38964000,0.0844,0,04/28 17:52:42
38960000,0.0949,0,04/28 17:52:42
38979000,1.2922,1,04/28 17:52:42
38980000,0.1392,1,04/28 17:52:42
38982000,0.0401,1,04/28 17:52:42
38985000,0.1034,1,04/28 17:52:42
38988000,0.0053,1,04/28 17:52:42
38971000,0.0045,0,04/28 17:52:43
38967000,0.0002,0,04/28 17:52:43
38965000,0.0323,0,04/28 17:52:43
38964000,0.0844,0,04/28 17:52:43
38960000,0.0949,0,04/28 17:52:43
38977000,0.061,1,04/28 17:52:43
38978000,0.0564,1,04/28 17:52:43
38979000,1.261,1,04/28 17:52:43
38980000,0.1392,1,04/28 17:52:43
38982000,0.0401,1,04/28 17:52:43
38971000,0.0045,0,04/28 17:52:44
38967000,0.0002,0,04/28 17:52:44
38965000,0.0323,0,04/28 17:52:44
38964000,0.0844,0,04/28 17:52:44
38960000,0.0949,0,04/28 17:52:44
38977000,0.061,1,04/28 17:52:44
38978000,0.0564,1,04/28 17:52:44
38979000,1.261,1,04/28 17:52:44
38980000,0.1392,1,04/28 17:52:44
38982000,0.0401,1,04/28 17:52:44
38971000,0.0045,0,04/28 17:52:45
38967000,0.0002,0,04/28 17:52:45
38965000,0.0323,0,04/28 17:52:45
38964000,0.0844,0,04/28 17:52:45
38960000,0.0949,0,04/28 17:52:45
38977000,0.061,1,04/28 17:52:45
38978000,0.0564,1,04/28 17:52:45
38979000,1.261,1,04/28 17:52:45
38980000,0.0558,1,04/28 17:52:45
38982000,0.0401,1,04/28 17:52:45
38971000,0.0027,0,04/28 17:52:47
38967000,0.0002,0,04/28 17:52:47
38965000,0.0323,0,04/28 17:52:47
38960000,0.0866,0,04/28 17:52:47
38959000,0.0609,0,04/28 17:52:47
38977000,0.1156,1,04/28 17:52:47
38978000,0.0564,1,04/28 17:52:47
38979000,1.261,1,04/28 17:52:47
38980000,0.0558,1,04/28 17:52:47
38981000,0.0956,1,04/28 17:52:47
38971000,0.0027,0,04/28 17:52:48
38967000,0.0002,0,04/28 17:52:48
38965000,0.0323,0,04/28 17:52:48
38963000,0.0896,0,04/28 17:52:48
38960000,0.0866,0,04/28 17:52:48
38977000,0.1156,1,04/28 17:52:48
38978000,0.0564,1,04/28 17:52:48
38979000,1.261,1,04/28 17:52:48
38980000,0.0558,1,04/28 17:52:48
38981000,0.0956,1,04/28 17:52:48
38967000,0.0002,0,04/28 17:52:49
38965000,0.0323,0,04/28 17:52:49
38963000,0.0896,0,04/28 17:52:49
38960000,0.0866,0,04/28 17:52:49
38959000,0.0609,0,04/28 17:52:49
38971000,0.4585,1,04/28 17:52:49
38977000,0.1156,1,04/28 17:52:49
38978000,0.0963,1,04/28 17:52:49
38979000,1.261,1,04/28 17:52:49
38980000,0.0558,1,04/28 17:52:49
38960000,0.0866,0,04/28 17:52:50
38959000,0.0609,0,04/28 17:52:50
38958000,0.0002,0,04/28 17:52:50
38957000,0.0832,0,04/28 17:52:50
38956000,0.055,0,04/28 17:52:50
38971000,0.4585,1,04/28 17:52:50
38974000,0.061,1,04/28 17:52:50
38977000,0.0546,1,04/28 17:52:50
38978000,0.0963,1,04/28 17:52:50
38979000,1.261,1,04/28 17:52:50
38971000,0.0012,0,04/28 17:52:51
38967000,0.0891,0,04/28 17:52:51
38964000,0.0834,0,04/28 17:52:51
38963000,0.0319,0,04/28 17:52:51
38962000,0.0729,0,04/28 17:52:51
38977000,0.0546,1,04/28 17:52:51
38978000,0.0564,1,04/28 17:52:51
38979000,1.261,1,04/28 17:52:51
38980000,0.1187,1,04/28 17:52:51
38983000,0.0863,1,04/28 17:52:51
38967000,0.0891,0,04/28 17:52:52
38964000,0.0834,0,04/28 17:52:52
38963000,0.0319,0,04/28 17:52:52
38962000,0.0729,0,04/28 17:52:52
38961000,0.0898,0,04/28 17:52:52
38977000,0.0546,1,04/28 17:52:52
38978000,0.0564,1,04/28 17:52:52
38979000,1.261,1,04/28 17:52:52
38980000,0.1187,1,04/28 17:52:52
38983000,0.0863,1,04/28 17:52:52
38967000,0.0895,0,04/28 17:52:53
38965000,0.1111,0,04/28 17:52:53
38964000,0.1371,0,04/28 17:52:53
38963000,0.0319,0,04/28 17:52:53
38962000,0.0084,0,04/28 17:52:53
38977000,0.0546,1,04/28 17:52:53
38978000,0.0564,1,04/28 17:52:53
